filename	phi0	phi0dot
plots-128-1	20.144927536231883	0.06521739130434781
plots-129-1	20.144927536231883	0.0681159420289855
plots-130-1	20.144927536231883	0.07101449275362318
plots-131-1	20.144927536231883	0.07391304347826086
plots-132-1	20.144927536231883	0.07681159420289854
plots-133-1	20.144927536231883	0.07971014492753623
plots-134-1	20.144927536231883	0.08260869565217391
plots-135-1	20.144927536231883	0.08550724637681159
plots-136-1	20.144927536231883	0.08840579710144927
plots-137-1	20.144927536231883	0.09130434782608696
plots-138-1	20.144927536231883	0.09420289855072464
plots-139-1	20.144927536231883	0.09710144927536232
plots-140-1	20.144927536231883	0.1
plots-141-1	20.28985507246377	-0.1
plots-142-1	20.28985507246377	-0.09710144927536232
plots-143-1	20.28985507246377	-0.09420289855072464
plots-144-1	20.28985507246377	-0.09130434782608696
plots-145-1	20.28985507246377	-0.08840579710144927
plots-146-1	20.28985507246377	-0.0855072463768116
plots-147-1	20.28985507246377	-0.08260869565217392
plots-148-1	20.28985507246377	-0.07971014492753624
plots-149-1	20.28985507246377	-0.07681159420289856
plots-150-1	20.28985507246377	-0.07391304347826087
plots-151-1	20.28985507246377	-0.07101449275362319
plots-152-1	20.28985507246377	-0.06811594202898552
plots-153-1	20.28985507246377	-0.06521739130434784
plots-154-1	20.28985507246377	-0.06231884057971015
plots-155-1	20.28985507246377	-0.05942028985507247
plots-156-1	20.28985507246377	-0.05652173913043479
plots-157-1	20.28985507246377	-0.053623188405797106
plots-158-1	20.28985507246377	-0.050724637681159424
plots-159-1	20.28985507246377	-0.04782608695652174
plots-160-1	20.28985507246377	-0.044927536231884065
plots-161-1	20.28985507246377	-0.04202898550724638
plots-162-1	20.28985507246377	-0.0391304347826087
plots-163-1	20.28985507246377	-0.03623188405797102
plots-164-1	20.28985507246377	-0.03333333333333334
plots-165-1	20.28985507246377	-0.030434782608695657
plots-166-1	20.28985507246377	-0.027536231884057974
plots-167-1	20.28985507246377	-0.02463768115942029
plots-168-1	20.28985507246377	-0.021739130434782608
plots-169-1	20.28985507246377	-0.01884057971014494
plots-170-1	20.28985507246377	-0.015942028985507256
plots-171-1	20.28985507246377	-0.013043478260869573
plots-172-1	20.28985507246377	-0.01014492753623189
plots-173-1	20.28985507246377	-0.007246376811594207
plots-174-1	20.28985507246377	-0.004347826086956524
plots-175-1	20.28985507246377	-0.0014492753623188415
plots-176-1	20.28985507246377	0.0014492753623188415
plots-177-1	20.28985507246377	0.004347826086956524
plots-178-1	20.28985507246377	0.0072463768115941934
plots-179-1	20.28985507246377	0.010144927536231876
plots-180-1	20.28985507246377	0.01304347826086956
plots-181-1	20.28985507246377	0.015942028985507242
plots-182-1	20.28985507246377	0.018840579710144925
plots-183-1	20.28985507246377	0.021739130434782608
plots-184-1	20.28985507246377	0.02463768115942029
plots-185-1	20.28985507246377	0.02753623188405796
plots-186-1	20.28985507246377	0.030434782608695643
plots-187-1	20.28985507246377	0.033333333333333326
plots-188-1	20.28985507246377	0.03623188405797101
plots-189-1	20.28985507246377	0.03913043478260869
plots-190-1	20.28985507246377	0.042028985507246375
plots-191-1	20.28985507246377	0.04492753623188406
plots-192-1	20.28985507246377	0.04782608695652174
plots-193-1	20.28985507246377	0.050724637681159424
plots-194-1	20.28985507246377	0.053623188405797106
plots-195-1	20.28985507246377	0.05652173913043479
plots-196-1	20.28985507246377	0.05942028985507247
plots-197-1	20.28985507246377	0.06231884057971013
plots-198-1	20.28985507246377	0.06521739130434781
plots-199-1	20.28985507246377	0.0681159420289855
plots-200-1	20.28985507246377	0.07101449275362318
plots-201-1	20.28985507246377	0.07391304347826086
plots-202-1	20.28985507246377	0.07681159420289854
plots-203-1	20.28985507246377	0.07971014492753623
plots-204-1	20.28985507246377	0.08260869565217391
plots-205-1	20.28985507246377	0.08550724637681159
plots-206-1	20.28985507246377	0.08840579710144927
plots-207-1	20.28985507246377	0.09130434782608696
plots-208-1	20.28985507246377	0.09420289855072464
plots-209-1	20.28985507246377	0.09710144927536232
plots-210-1	20.28985507246377	0.1
plots-211-1	20.434782608695652	-0.1
plots-212-1	20.434782608695652	-0.09710144927536232
plots-213-1	20.434782608695652	-0.09420289855072464
plots-214-1	20.434782608695652	-0.09130434782608696
plots-215-1	20.434782608695652	-0.08840579710144927
plots-216-1	20.434782608695652	-0.0855072463768116
plots-217-1	20.434782608695652	-0.08260869565217392
plots-218-1	20.434782608695652	-0.07971014492753624
plots-219-1	20.434782608695652	-0.07681159420289856
plots-220-1	20.434782608695652	-0.07391304347826087
plots-221-1	20.434782608695652	-0.07101449275362319
plots-222-1	20.434782608695652	-0.06811594202898552
plots-223-1	20.434782608695652	-0.06521739130434784
plots-224-1	20.434782608695652	-0.06231884057971015
plots-225-1	20.434782608695652	-0.05942028985507247
plots-226-1	20.434782608695652	-0.05652173913043479
plots-227-1	20.434782608695652	-0.053623188405797106
